AKAP17A	chrY	+	1671408	0.18241	168
ASMT	chrY	+	1711969	0.0967742	6
CD24	chrY	-	21152525,21152985	0.10379,0.0807426	189,110
CD99	chrY	+	2604478,2609344	0.00488122,0.210421	14,105
CSF2RA	chrY	+	1378525,1378804	0.129331,0.025079	33,13
DAZ1	chrY	-	25275501,25276449	0.21844,0.392047	413,370
DAZ2	chrY	+	25436650,25437499,27052245,27053181	0.345663,0.201417,0.413009,0.212609	359,380,392,401
DHRSX	chrY	-	2087554	0.127046	194
GTPBP6	chrY	-	171416	0.12037	39
IL9R	chrY	+	59343479	0.268828	257
P2RY8	chrY	-	1531465,1532570	0.114638,0.0943157	333,169
PCDH11Y	chrY	+	4973636,5608252,5610262	0.00405186,0.16284,0.186379	5,369,797
PLCXD1	chrY	+	168008,170017	0.224478,0.244756	450,982
PPP2R3B	chrY	-	244667,244816	0.0740395,0.129357	32,36
SHOX	chrY	+	557552,569807,570143	0.0917011,0.452516,0.193504	200,109,112
SLC25A6	chrY	-	1455044,1455200	0.589426,0.557002	265,163
SRY	chrY	-	2654895	0.0895522	12
TMSB4Y	chrY	+	15817902	0.209699	160
TSPY1	chrY	+	9177884,9306454,9307357	0.454054,0.273786,0.556594	84,7,125
TSPY10	chrY	+	9176981,9177886,9237919,9238824,9327687,9368284	0.138193,0.424509,0.177239,0.514134,0.519307,0.990467	4,95,4,115,120,212
TSPY2	chrY	+	6117052	0.478495	89
TSPY3	chrY	+	9238826,9368282	0.515957,1.05405	97,194
TSPY4	chrY	+	9218480,9238826,9368282	0.489362,0.515957,1.05405	92,97,194
TSPY8	chrY	+	9198202	0.478723	90
USP9Y	chrY	+	14972552	0.0933113	113
UTY	chrY	-	15360258,15409388,15434913	0.0483625,0.0154639,0.175	126,3,14
VAMP7	chrY	+	59275429,59276429	0.0300971,0.0721278	24,130
ZBED1	chrY	-	2354454	0.142278	316
